ACT composite score,SAT total score,parental level of education,parental income,high school gpa,college gpa,years to graduate,zeros,zeros+1
22,1625,high school,40999.0,3.0,3.1,7,0,14
29,2090,associate's degree,75817.0,4.0,3.4,5,0,10
30,2188,bachelor's degree,82888.0,4.0,3.9,3,0,6
33,2151,associate's degree,93518.0,4.0,3.7,5,0,10
29,2050,associate's degree,79153.0,4.0,3.4,6,0,12
28,1976,master's degree,100048.0,3.8,3.5,4,0,8
29,2097,some college,46883.0,4.0,3.4,6,0,12
30,1976,some college,67379.0,3.7,3.4,5,0,10
27,2072,bachelor's degree,102424.0,3.9,3.9,4,0,8
32,2246,bachelor's degree,56793.0,4.0,3.6,3,0,6
28,1956,associate's degree,66110.0,3.6,3.4,5,0,10
28,2006,some high school,56590.0,3.7,3.1,5,0,10
25,1868,bachelor's degree,87574.0,3.4,3.1,5,0,10
27,1955,some college,75111.0,3.4,3.3,6,0,12
27,1873,bachelor's degree,93342.0,3.5,3.7,3,0,6
31,2029,high school,47947.0,4.0,3.7,4,0,8
25,1779,associate's degree,77493.0,3.3,3.3,7,0,14
31,2110,some college,65866.0,4.0,3.5,4,0,8
27,1996,high school,45824.0,3.6,3.1,6,0,12
31,2156,bachelor's degree,74254.0,4.0,3.4,6,0,12
33,2234,high school,71657.0,4.0,3.9,3,0,6
24,1824,associate's degree,72319.0,3.3,3.2,6,0,12
26,1810,some college,81527.0,3.4,3.2,5,0,10
26,1914,some college,64410.0,3.6,3.5,3,0,6
25,1866,some college,63514.0,3.3,3.4,7,0,14
28,1928,high school,54938.0,3.6,3.3,4,0,8
25,1842,high school,72810.0,3.3,3.3,4,0,8
26,1846,associate's degree,77274.0,3.5,3.3,4,0,8
24,1800,some high school,62857.0,3.3,3.2,4,0,8
28,1952,bachelor's degree,59674.0,3.7,3.1,4,0,8
30,2080,master's degree,96140.0,4.0,3.9,4,0,8
26,1784,some college,68573.0,3.2,3.3,4,0,8
29,1913,some college,75011.0,3.6,3.3,4,0,8
31,2101,master's degree,75001.0,4.0,3.6,4,0,8
31,2028,high school,55451.0,3.9,3.2,5,0,10
24,1707,some college,65352.0,3.2,2.9,5,0,10
27,1951,associate's degree,51677.0,3.8,3.2,4,0,8
28,2042,some college,79886.0,3.9,3.3,4,0,8
28,1898,high school,54004.0,3.5,3.3,4,0,8
32,2109,some college,67094.0,4.0,3.4,4,0,8
29,2031,master's degree,106538.0,3.7,3.3,6,0,12
27,1935,some college,62701.0,3.7,3.4,4,0,8
24,1849,some high school,57021.0,3.3,3.2,5,0,10
24,1828,associate's degree,70581.0,3.3,3.1,6,0,12
32,2121,some college,50679.0,4.0,3.1,5,0,10
28,1956,associate's degree,63320.0,3.6,3.0,5,0,10
29,2068,master's degree,69164.0,4.0,3.6,4,0,8
25,1801,some college,57119.0,3.3,3.5,5,0,10
24,1760,some college,78288.0,3.2,3.4,3,0,6
32,2275,master's degree,104758.0,4.0,4.0,3,0,6
30,2129,bachelor's degree,100085.0,4.0,3.4,4,0,8
27,1855,associate's degree,99168.0,3.3,3.1,5,0,10
26,1966,some college,89016.0,3.6,3.4,7,0,14
28,2080,bachelor's degree,70882.0,3.9,3.3,4,0,8
31,2123,some college,79271.0,4.0,3.8,5,0,10
31,2229,bachelor's degree,78379.0,4.0,3.5,6,0,12
22,1717,high school,30058.0,3.0,2.9,9,0,18
26,1868,some high school,61856.0,3.6,3.2,4,0,8
32,2208,bachelor's degree,98261.0,4.0,3.9,3,0,6
31,2054,some college,80375.0,3.9,3.2,5,0,10
27,1807,some high school,59362.0,3.2,3.1,4,0,8
